token,amount,start,end,owner,newowner,duration
538,313,1672174655,1765411200,0xbf982f06f9282dce1621f49c8d282eb257e24198,,1079
539,544,1672174655,1765411200,0x45f794104dd545b9c196fdc4623a6c1db4040abc,,1079
540,319,1672174655,1761177600,0x7bd9e55b4d927f474fa76a52a55bebad827d3fde,,1030
541,303,1672174655,1765411200,0x82f5759a5c9d48e96864f988b2187150a9e89f56,,1079
542,410,1672174655,1765411200,0xf314ba7071efdf6e3e34808c520135c6c292ae2c,,1079
543,320,1672174655,1764201600,0x9144dcfd6336a185237d2acf8a109c6af5c2036f,,1065
545,310,1672174655,1796256000,0xbbe4bf2d53a4a752c0ef21573fa0162bddafcd12,,1436
546,513,1672174655,1764806400,0x45d2c6e88dda2ae0053f69335189d790580c5744,,1072
547,305,1672174655,1765411200,0x681a5c1b072ec5894b63305920419e35d899beca,,1079
548,520,1672174655,1764806400,0x543a27a01490ab7913f491d7700014c0b3a3ecd9,,1072
549,301,1672174655,1766016000,0xdbd9a478f024193a26066fea2ee1878d8aff30f4,,1086
550,431,1672174655,1762992000,0x8fc87c199203332c1cc43430b9fad2b1868e44d0,,1051
551,315,1672174655,1765411200,0x0eb6fe4881bd57291f993220f0ec28486df588a4,,1079
552,330,1672174655,1765411200,0x2809b5a5d66202622651580d05b7423b43dfc1e7,,1079
553,350,1672174655,1760572800,0x5d92d031024e368b5543c6da50f0cf392704511b,,1023
554,301,1672174655,1765411200,0xb75d94b05156938df46ab456e33ce4c9cdf93d73,,1079
555,306,1672174655,1765411200,0x7b803ed00796ac589e3b5890d8dcc78578e62cd7,,1079
556,301,1672174655,1765411200,0xe320beb7f381b33bd6eb88ef1cda0f3fa4fdd68b,,1079
557,562,1672174655,1764806400,0x97cd05ee9f47c6aba029c5ed4fbce8ce817586e3,,1072
558,420,1672174655,1765411200,0x4d167fde5b6677ea1f539b4fdab0d3a65b6c181e,,1079
559,303,1672174655,1765411200,0x5132649fde3e0bc9a207dce9ac44743247efe3d1,,1079
560,502,1672174655,1765411200,0xd392d581e85c77f8720b53d68be3bed9ab5d7b8f,,1079
561,311,1672174655,1761177600,0xf2da64cf36e390957a912ae04342ebf70857ebac,,1030
562,310,1672174655,1765411200,0x87bad1868a2ffef891eda7f6dcbf061ec9f072f6,,1079
563,301,1672174655,1765411200,0xb0c3f2c3fa2cbbaf2f7d296bd41d8031672fdaf4,,1079
564,330,1672174655,1765411200,0x85ab4a97283663e191e6cfc7dfcff4016e0c5c2b,,1079
565,304,1672174739,1765411200,0xe658cd453b6d54ba43f2a5b49284e2b82adbf560,,1079
566,310,1672174739,1765411200,0x032fad39a3134834585e13d98cdac4ac22fe814e,,1079
567,315,1672174739,1765411200,0xf3794a61651cdc90b9d80590ba5d413c50e664bb,,1079
568,330,1672174739,1761177600,0x24baf3a6918d6fef1a4ab229d1d9b79bcb20fdb6,,1030
569,315,1672174739,1765411200,0x2868dee7b17e478348eaae54ad0a65aab476c8aa,,1079
570,669,1672174739,1761782400,0xeec8316b72e04fb22beb6c8a464fe8d730835c81,,1037
571,330,1672174739,1765411200,0xf661ee1a3dc61ff13ad52583833ea0d95fa00f96,,1079
572,301,1672174739,1761177600,0x9347177014d3fea775b5b29ffc96bf6b911686f9,,1030
573,300,1672174739,1781136000,0x341a8307dcdfbe53084a8e407839c4b8b5e24dd4,,1261
574,115,1672174739,1783555200,0x0619b194ffd03a6ebb633ebd1b77b5102ffbc3c9,,1289
575,480,1672174739,1784764800,0xbf6e8f71c48f65fd28cc2baff067fd289739c0ef,,1303
576,297,1672222067,1798070400,0x138afb45fd6631d963cf1106a300eb175449e34c,,1457
